code,month,radiation,city1,city2,city3
93,1,291.955,강원도,춘천시,북춘천
93,2,351.125,강원도,춘천시,북춘천
93,3,435.365,강원도,춘천시,북춘천
93,4,532.98,강원도,춘천시,북춘천
93,5,611.64,강원도,춘천시,북춘천
93,6,642.565,강원도,춘천시,북춘천
93,7,470.675,강원도,춘천시,북춘천
93,8,451.31,강원도,춘천시,북춘천
93,9,438.725,강원도,춘천시,북춘천
93,10,354.07,강원도,춘천시,북춘천
93,11,244.6066667,강원도,춘천시,북춘천
93,12,222.87,강원도,춘천시,북춘천
100,1,301.9166667,강원도,평창군,대관령
100,2,360.9833333,강원도,평창군,대관령
100,3,449.6066667,강원도,평창군,대관령
100,4,560.2233333,강원도,평창군,대관령
100,5,642.92,강원도,평창군,대관령
100,6,606.8866667,강원도,평창군,대관령
100,7,500.01,강원도,평창군,대관령
100,8,474.84,강원도,평창군,대관령
100,9,387.6,강원도,평창군,대관령
100,10,322.22,강원도,평창군,대관령
100,11,268.0633333,강원도,평창군,대관령
100,12,248.39,강원도,평창군,대관령
102,5,621.3,인천광역시,옹진군,백령도
102,6,626.45,인천광역시,옹진군,백령도
102,7,618.28,인천광역시,옹진군,백령도
102,8,660.12,인천광역시,옹진군,백령도
102,9,526.42,인천광역시,옹진군,백령도
102,10,469.54,인천광역시,옹진군,백령도
102,11,282.97,인천광역시,옹진군,백령도
102,12,221.58,인천광역시,옹진군,백령도
104,1,315.3866667,강원도,강릉시,북강릉
104,2,373.93,강원도,강릉시,북강릉
104,3,450.7066667,강원도,강릉시,북강릉
104,4,535.4866667,강원도,강릉시,북강릉
104,5,605.34,강원도,강릉시,북강릉
104,6,585.3566667,강원도,강릉시,북강릉
104,7,472.2966667,강원도,강릉시,북강릉
104,8,438.1933333,강원도,강릉시,북강릉
104,9,396.4866667,강원도,강릉시,북강릉
104,10,301.2566667,강원도,강릉시,북강릉
104,11,251.2,강원도,강릉시,북강릉
104,12,241.9333333,강원도,강릉시,북강릉
108,1,220.54,서울특별시,종로구,서울
108,2,303.19,서울특별시,종로구,서울
108,3,441.36,서울특별시,종로구,서울
108,4,491.4866667,서울특별시,종로구,서울
108,5,600.3766667,서울특별시,종로구,서울
108,6,578.6433333,서울특별시,종로구,서울
108,7,446.46,서울특별시,종로구,서울
108,8,465.4333333,서울특별시,종로구,서울
108,9,429.04,서울특별시,종로구,서울
108,10,320.8166667,서울특별시,종로구,서울
108,11,215.24,서울특별시,종로구,서울
108,12,203.5633333,서울특별시,종로구,서울
112,1,216.7633333,인천광역시,중구,인천
112,2,270.7133333,인천광역시,중구,인천
112,3,433.7966667,인천광역시,중구,인천
112,4,477.4966667,인천광역시,중구,인천
112,5,569.6166667,인천광역시,중구,인천
112,6,569.79,인천광역시,중구,인천
112,7,487.3466667,인천광역시,중구,인천
112,8,488.6233333,인천광역시,중구,인천
112,9,416.9633333,인천광역시,중구,인천
112,10,312.98,인천광역시,중구,인천
112,11,219.5733333,인천광역시,중구,인천
112,12,203.24,인천광역시,중구,인천
114,1,274.5566667,강원도,원주시,원주
114,2,321.9233333,강원도,원주시,원주
114,3,463.4466667,강원도,원주시,원주
114,4,519.5933333,강원도,원주시,원주
114,5,631.8633333,강원도,원주시,원주
114,6,631.12,강원도,원주시,원주
114,7,494.7733333,강원도,원주시,원주
114,8,510.1866667,강원도,원주시,원주
114,9,439.14,강원도,원주시,원주
114,10,362.5133333,강원도,원주시,원주
114,11,269.3633333,강원도,원주시,원주
114,12,239.97,강원도,원주시,원주
115,1,131.82,경상북도,울릉군,울릉도
115,2,177.56,경상북도,울릉군,울릉도
