code,city1,city2,city3,1년,2년,3년,4년,5년,6년,7년,8년,9년,10년,11년,12년,13년,14년,15년,16년,17년,18년,19년,20년,21년,22년,23년,24년,25년
93,강원도,춘천시,북춘천,1052.400171,1052.315979,1052.231794,1052.147615,1052.063444,1051.979279,1051.89512,1051.810969,1051.726824,1051.642686,1051.558554,1051.474429,1051.390312,1051.3062,1051.222096,1051.137998,1051.053907,1050.969823,1050.885745,1050.801674,1050.71761,1050.633553,1050.549502,1050.465458,1050.381421
100,강원도,평창군,대관령,1068.197647,1068.112192,1068.026743,1067.9413,1067.855865,1067.770437,1067.685015,1067.5996,1067.514192,1067.428791,1067.343397,1067.258009,1067.172629,1067.087255,1067.001888,1066.916528,1066.831174,1066.745828,1066.660488,1066.575155,1066.489829,1066.40451,1066.319198,1066.233892,1066.148594
102,인천광역시,옹진군,백령도,839.4914453,839.424286,839.3571321,839.2899835,839.2228403,839.1557025,839.08857,839.0214429,838.9543212,838.8872049,838.8200939,838.7529883,838.685888,838.6187932,838.5517037,838.4846195,838.4175407,838.3504673,838.2833993,838.2163366,838.1492793,838.0822274,838.0151808,837.9481396,837.8811037
104,강원도,강릉시,북강릉,1035.656181,1035.573328,1035.490483,1035.407643,1035.324811,1035.241985,1035.159165,1035.076353,1034.993546,1034.910747,1034.827954,1034.745168,1034.662388,1034.579615,1034.496849,1034.414089,1034.331336,1034.24859,1034.16585,1034.083116,1034.00039,1033.91767,1033.834956,1033.752249,1033.669549
108,서울특별시,종로구,서울,983.2386096,983.1599505,983.0812977,983.0026512,982.924011,982.8453771,982.7667495,982.6881281,982.6095131,982.5309043,982.4523018,982.3737057,982.2951158,982.2165322,982.1379548,982.0593838,981.980819,981.9022606,981.8237084,981.7451625,981.6666229,981.5880896,981.5095625,981.4310417,981.3525273
112,인천광역시,중구,인천,972.9715011,972.8936633,972.8158318,972.7380066,972.6601875,972.5823747,972.5045681,972.4267678,972.3489736,972.2711857,972.193404,972.1156285,972.0378593,971.9600963,971.8823394,971.8045889,971.7268445,971.6491063,971.5713744,971.4936487,971.4159292,971.3382159,971.2605089,971.182808,971.1051134
114,강원도,원주시,원주,1075.450782,1075.364746,1075.278717,1075.192695,1075.106679,1075.020671,1074.934669,1074.848674,1074.762686,1074.676705,1074.590731,1074.504764,1074.418803,1074.33285,1074.246903,1074.160964,1074.075031,1073.989105,1073.903186,1073.817273,1073.731368,1073.645469,1073.559578,1073.473693,1073.387815
115,경상북도,울릉군,울릉도,686.3743457,686.3194357,686.2645302,686.209629,686.1547322,686.0998398,686.0449519,685.9900683,685.9351891,685.8803142,685.8254438,685.7705778,685.7157161,685.6608589,685.606006,685.5511575,685.4963134,685.4414737,685.3866384,685.3318075,685.2769809,685.2221588,685.167341,685.1125276,685.0577186
119,경기도,수원시,수원,956.7278706,956.6513324,956.5748003,956.4982743,956.4217545,956.3452407,956.2687331,956.1922316,956.1157362,956.039247,955.9627638,955.8862868,955.8098159,955.7333511,955.6568925,955.5804399,955.5039935,955.4275531,955.3511189,955.2746909,955.1982689,955.121853,955.0454433,954.9690396,954.8926421
129,충청남도,서산시,서산,945.8506009,945.7749328,945.6992709,945.6236149,945.547965,945.4723212,945.3966834,945.3210517,945.245426,945.1698063,945.0941928,945.0185852,944.9429837,944.8673883,944.7917989,944.7162156,944.6406383,944.565067,944.4895018,944.4139427,944.3383895,944.2628425,944.1873014,944.1117665,944.0362375
131,충청북도,청주시,청주,1069.859954,1069.774366,1069.688784,1069.603209,1069.51764,1069.432079,1069.346524,1069.260977,1069.175436,1069.089902,1069.004374,1068.918854,1068.833341,1068.747834,1068.662334,1068.576841,1068.491355,1068.405876,1068.320403,1068.234938,1068.149479,1068.064027,1067.978582,1067.893143,1067.807712
133,대전광역시,유성구,대전,1198.102909,1198.007061,1197.91122,1197.815387,1197.719562,1197.623745,1197.527935,1197.432132,1197.336338,1197.240551,1197.144772,1197.049,1196.953236,1196.85748,1196.761731,1196.66599,1196.570257,1196.474532,1196.378814,1196.283103,1196.187401,1196.091706,1195.996018,1195.900339,1195.804667
135,충청북도,영동군,추풍령,1104.742689,1104.654309,1104.565937,1104.477571,1104.389213,1104.300862,1104.212518,1104.124181,1104.035851,1103.947528,1103.859212,1103.770904,1103.682602,1103.594307,1103.50602,1103.417739,1103.329466,1103.2412,1103.15294,1103.064688,1102.976443,1102.888205,1102.799974,1102.71175,1102.623533
136,경상북도,안동시,안동,1145.617928,1145.526279,1145.434637,1145.343002,1145.251374,1145.159754,1145.068142,1144.976536,1144.884938,1144.793347,1144.701764,1144.610188,1144.518619,1144.427057,1144.335503,1144.243956,1144.152417,1144.060885,1143.96936,1143.877842,1143.786332,1143.694829,1143.603333,1143.511845,1143.420364
