행정구역별(1),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
전국,637359,135442,735327,181871,852602,250625,1302158,303024,2132582,423718,3464576,514583,4491036,631406,6220719,835500
서울,512,12506,4279,16476,5731,19979,9432,21830,20116,32905,30130,44864,32413,54415,35155,70635
부산,1160,4198,1515,5622,4124,7861,46712,8388,57412,11414,77165,14212,78672,18855,90945,26569
대구,700,5770,1829,7206,1925,9023,9431,10563,20340,14531,33150,16669,40559,21108,47831,28297
인천,1682,3726,2210,5255,5298,9576,10581,11507,20267,17926,29268,21970,32602,26025,49174,35670
광주,3501,7088,5923,8554,7542,10470,13786,11626,24095,15137,69023,16645,80588,18666,110191,23200
대전,426,3417,552,4692,1295,6526,5018,7375,10266,11972,13767,14837,16864,17122,20691,22376
울산,637,3579,1137,4306,1377,6030,3072,6567,4352,9654,9649,12283,11455,12983,21206,17836
세종,0,0,0,0,0,0,51,375,6039,1773,17033,5420,26000,7763,27112,12384
경기도,7910,20358,10782,28144,15507,38490,36812,43320,95797,61777,157110,76105,201688,96401,269729,130436
강원도,13048,6498,16615,7989,27464,11544,36000,14036,115123,21892,162639,26493,208091,33630,338972,45659
충청북도,11169,10076,13791,14863,22462,21903,35717,27238,64700,40790,118903,49693,171885,62395,279003,81663
충청남도,42230,9123,49540,12192,60224,17539,85491,20806,153592,30336,333561,34126,532970,43146,772788,57957
전라북도,122456,8246,141850,10809,162729,14505,245348,30036,422817,25853,694216,30623,899409,36423,1155966,47865
전라남도,237923,11434,258627,15298,276307,21694,409921,25282,630639,38550,972810,45139,1214806,52607,1617164,67047
경상북도,147637,8618,168161,11686,185079,16753,224526,19419,265977,27337,390448,33638,523069,42110,780862,55948
경상남도,39876,17728,51337,24540,67282,32952,116163,36723,185255,49565,276757,57350,325784,69486,457063,88198
제주도,6491,3077,7181,4240,8256,5779,14097,7933,35794,12308,78947,14515,94180,18269,146867,23760
