지역,내용
서울," 서울의 연평균기온은 12.5℃이다. 최한월 평균기온은 -2.4℃로 1월에 나타나고 최난월 평균기온은 25.7℃로 8월에 나타나며, 연교차는 28.1℃로 매우 크다.
여름철(6월, 7월, 8월) 강수량 합은 892.1mm로 연강수량의 약 61%를 차지하여 전체 강수량 중 여름철 강수량의 비율이 매우 높다. 반면 겨울철(12월, 1월, 2월) 강수량 합은 67.3mm로 연강수량의 약 5%에 불과하다.
연평균 풍속은 2.3m/s이며, 월별 평균풍속은 9월에 1.9m/s로 가장 낮고 3월과 4월에 2.8m/s로 가장 높다.
서울의 연평균 상대습도는 64%이며, 월별 상대습도를 보면 4월에 56%로 가장 습도가 낮고 7월에 78%로 가장 높게 분포한다. 여름철의 평균 상대습도는 74%로 매우 습하며, 봄과 겨울철의 상대습도는 약 60%로 상대적으로 건조하다."
수원시,"수원은 경기남서부의 내륙지방에 위치하고 있고, 지형은 대체로 동북에서 서남 방면으로 완만한 경사를 이루며 주위에 높거나 험한 산이 별로 없고 남쪽에 평야가 이어져 있다. 주변의 인천 또는 서울에 비해 여름이 무덥고 겨울은 비교적 한랭한 대륙성 기후의 특성이 나타난다.
수원의 연평균기온의 평년값은 12.0℃이다. 최한월 평균기온은 -2.9℃로 1월에 나타나고 최난월 평균기온은 25.6℃로 8월에 나타나며 연교차는 28.5℃이다.
수원의 연강수량의 평년값은 1312.3mm이다. 1월 강수량이 22.4mm로 가장 적고, 8월 강수량이 299.8mm로 가장 많다. 
여름철(6월~8월) 강수량의 합은 780.1mm로 연 강수량의 59.4%를 차지한다.
바람은 계절에 관계없이 서북서풍이 탁월하며, 운량은 여름철에 많고 겨울철에는 적게 나타난다.
계절관측 평년값은 첫서리가 10월 23일, 첫얼음은 10월 28일, 첫눈은 11월 22일이다."
이천시,"이천은 북부와 서부는 광주산맥, 남부는 차령산맥으로 둘러싸여 있으며, 동부는 비교적 낮고 평탄한 지형을 이루고 있는 분지지형으로, 시의 중앙으로 남한강의 지류인 복하천이 흐르고 있다.
연평균기온의 평년값은 11.6℃이며 최한월 평균기온은 -3.1℃(1월), 최난월 평균기온은 24.4℃(8월)로 27.5℃의 연교차를 보인다.
연강수량의 평년값은 1,370.8mm로 여름철(6~8월) 강수량(836.1mm)이 약 61%를 차지한다.
연평균풍속의 평년값은 1.3m/s이며, 월평균풍속은 10월이 0.9m/s로 가장 낮고 4월이 1.8m/s로 가장 높다.
연평균상대습도는 66.7%이며, 4월에 55.3%로 가장 낮고, 7월에 77.3%로 가장 높다."
양평군,"양평은 주변이 산으로 둘러싸인 분지형태이며, 남한강이 양평을 남에서 북으로 가로질러 양수리에서 북한강과 만나서 합류한다. 특히 북-북동-동쪽으로는 험준한 산지가 위치해 있다.
연평균기온의 평년값은 11.5℃이며 최한월 평균기온은 -3.4℃(1월), 최난월 평균기온은 24.7℃(8월)로 28.1℃의 연교차를 보인다.
연강수량의 평년값은 1,438.2mm로 여름철(6~8월) 강수량(915.7mm)이 약 64%를 차지한다.
연평균풍속의 평년값은 1.2m/s이며, 월평균풍속은 9월과 10월이 0.9m/s로 가장 낮고 3월과 4월이 1.5m/s로 가장 높다.
연평균상대습도는 70.5%이며, 4월에 58.1%로 가장 낮고, 8월에 80.1%로 가장 높다."
인천,"인천은 한반도의 중앙부 황해 연안에 자리 잡고 있으며, 북쪽으로는 옹진군 및 강화군 내의 여러 도서로 구성되어 있으며 북한의 황해도와 접하고 있다. 남쪽으로는 옹진군 내의 도서가 충청남도 및 경기도에 속한 여러 도서와 맞닿아 있고, 동쪽으로는 수도 서울 및 경기도 내의 여러 시,군과 접하고 있다. 특히 옹진 및 강화군의 여러섬이 편입됨으로써 총 157개의 많은 도서를 가지고 있으며, 무엇보다도 면적상 북서부의 백령도에서 남서쪽으로 덕적도에 이르기까지 광할한 해역을 포함하고 있다.
인천의 연평균기온은 12.1℃이며, 가장 추운달은 1월로 -2.1℃, 가장 무더운 달은 8월로 25.2℃로 연교차는 27.3℃이다.
연평균강수량은 1234.4mm이며, 여름철(6월, 7월, 8월) 강수량 합은 717.4mm로, 연강수량의 약 58%이며, 겨울철(12월,1월, 2월) 강수량 합은 60.7mm로 연 강수량의 약 5%이다.
연평균풍속은 2.9m/s이며, 3월이 3.7m/s로 가장 높고, 9월이 2.1m/s로 가장 낮다.
연평균 상대습도는 69%이며, 월별 상대습도를 보면 1월, 2월, 12월의 습도가 62%로 가장 낮고, 7월에 82%로 가장 높게 분포한다. 여름철(6월, 7월, 8월)의 평균 상대습도는 79%로 매우 습하며, 봄철(3월 ,4월, 5월) 상대습도는 66%이며, 겨울철(12월, 1월, 2월)의 상대습도는 62% 상대적으로 건조하다.
계절관측 평년값은 첫서리가 11월 7일, 첫얼음은 11월 7일, 첫눈은 11월 24일이다."
강화군,"기온은 연평균 기온이 11.1 ℃이며, 가장 추운달은 1월로 -3.8℃, 가장 무더운 달은 8월로 24.5℃로 연교차는 28.3℃이다.
연평균 강수량은 1346.7mm 이며, 여름철(6월, 7월, 8월) 강수량 합은 808.2mm으로, 연강수량의 약 60%이며, 겨울철(12월, 1월, 2월) 강수량 합은 55.7mm로 연 강수량의 약 4%이다.
연평균풍속은 1.7m/s이며, 4월이 2.1m/s로 가장 높고, 9월과 10월이 1.4m/s로 가장 낮다.
연평균 상대습도는 70%이며, 월별 상대습도를 보면 2월, 3월, 4월의 습도가 63%로 가장 낮고 7월에 83%로 가장 높게 분포한다. 여름철의 평균 상대습도는 79%로 매우 습하며, 봄(3월 ,4월, 5월)과 겨울철(12월, 1월, 2월)의 상대습도는 65%로 상대적으로 건조하다.
계절관측 평년값은 첫서리가 10월 24일, 첫얼음은 10월 28일, 첫눈은 11월 23일이다."
동두천시,"경기북부 내륙에 위치하여 한탄강, 임진강 등 긴 하천과 높고 낮은 산지를 이루면서 낮 기온 상승으로 인한 대기 불안정이 발생하여 집중호우가 자주 발생하고 있다. 서쪽으로는 한강 하구로 저지대이며, 산지는 주로 400m내외의 비교적 낮은 산들로 산재해 있으나 북동내륙지방은 감악산, 소요산 등 800∼1000m의 비교적 높은 산들이 산맥을 이루고 있어 동고서저의 지형으로 서해 및 한강 하구에서 서 또는 남서풍이 불 때 많은 양의 비가 내려 우리나라에서도 다우지역에 속하는 곳이다. 또한 도시 또는 마을의 대부분이 산들로 둘러싸인 분지 형태로 형성되어 있다.
기온은 연 평균 11.1℃로 겨울철에는 찬 대륙성 고기압의 영향으로 최저기온이 -6~-9℃ 분포로 서울지방보다 약 3℃ 낮고, 여름철 최고기온은 27~30℃ 분포로 서울지방과 비슷하다.
강수량은 연평균 1500.0mm 이상으로 특히 1998년도와 2011년에는 2000.0mm 이상의 많은 강수가 관측되었다.
적설은 1998년 2월 관측 이래, 2001년 1월에 가장 많은 눈이 내리면서 일 최심신적설 20cm(2001. 1. 7)가 관측되었고, 일 최심적설은 23.7cm(2001. 1. 9)로 20cm 이상 관측된 날이 8일 동안 지속되었다."
파주시,"파주시는 서울과 개성의 중간지점인 경기도 서북부에 위치하여 동쪽으로 연천군과 양주시, 남쪽으로 고양시와 맞닿아 있으며, 서쪽으로 한강을 경계로 김포시, 북쪽으로 임진강이 지나면서 북한의 개풍군과 접해있다. 동쪽으로 마식령산맥의 말단부에 위치하고, 북쪽의 임진강과 서쪽의 한강이 흐르는 동고서저형의 지형적 특징을 나타내고 있다. 파주기상대는 파주시 중심부 북쪽 임진강이 가까운 평야지대 부근에 위치하고 있다. 2002년 1월 1일 파주기상대 기상관측이래 최근 2013년 까지 관측자료를 바탕으로 기후특성을 알아보면,
기온은 연평균 10.9℃, 가장 추운 달은 1월로 -5.1℃, 가장 더운 달은 8월로 24.9℃이다.
강수량은 연평균 1458.7mm이며, 월평균 강수량 중 가장 적은 달은 1월 16.6mm, 가장 많은 달은 7월 480.3mm이다.
풍속은 연평균 1.7m/s이며, 상대습도는 연평균 72.2%이다."
백령도,"백령도는 2000년도에 신설되어 신설 이후, 2001년부터 2010년까지의 10년간의 자료에 의하면,
평균강수량은 825.6mm이다.
평균기온은 최한월(1월) 평균기온은 -1.5℃, 최고기온 평균 1.2℃, 최저기온 평균 -3.7℃ 으로 평균 일교차는 4.9℃이고, 최난월(8월) 평균기온 23.6℃, 최고기온 평균 26.9℃, 최저기온 평균 21.3℃으로 평균 일교차는 5.6℃로 나타난다.
연 최고기온은 내륙보다 2∼3℃ 낮고, 최저기온은 1∼2℃ 높게 나타나 일교차가 적은 해양성 기후의 특성을 보인다."
춘천시,"1981~2010년 기상요소에 대한 평년값을 보면 춘천의 연평균 기온은 11.1℃이다. 춘천의 최한월 평균기온은 1월 -4.6℃로 나타나고 최난월 평균기온은 8월 24.6℃로 나타나며, 연교차는 29.2℃로 다소 큰 편이다. 
춘천은 30년 동안 연도별 평년 최고기온, 최저기온, 연평균기온을 살펴보면, 대부분 상승 추세를 보이고 있다. 연평균기온은 30년 동안 0.5℃ 상승했다. 춘천에서 관측을 시작한 이래 1969년 2월 6일이 -27.9℃로 가장 추웠고, 1972년 7월 21일 36.6도로 가장 더웠다.

연강수량은 1347.3㎜로 우리나라의 연강수량(1308㎜)보다 많다. 춘천은 1월 강수량이 20.3㎜로 가장 적고, 7월 강수량이 383㎜로 가장 많다. 장마와 집중호우가 주를 이루는 여름철 강수량은 824.4㎜로 연 강수량의 61.2%를 차지하고 겨울철 강수량은 매우적다. 하루 동안 강수량이 가장 많은 날은 1991년 7월 25일로 308.5㎜이고, 최근 들어 강수량이 점차 증가하는 추세이다. 
춘천 일강수가 0.1㎜ 이상 내린 날은 3182일, 연평균 106.1일로 연간 29.1%를 차지한다. 일강수가 100㎜ 이상 내린 날은 30년 동안 총 50일이며, 장마와 집중호우가 나타나는 6~9월 사이에 주로 발생한다."
