,city,city2,price_avg,location,radiation,radiation_annual,price_pt,radiation_pt,total_pt,rank
86,강원도,춘천시,292863.547,93,13.55787293,4948.67,3,3,6,3
87,강원도,원주시,277350.149,114,14.76093151,5387.765,3,5,8,2
88,강원도,강릉시,183613.5602,104,13.95660274,5094.305,3,4,7,3
89,강원도,동해시,152812.3355,NA,13.72529902,5009.625,3,4,7,3
90,강원도,태백시,182392.3153,581,13.59238191,4961.08,3,3,6,3
91,강원도,속초시,456837.4718,520,12.09249382,4413.58,2,1,3,5
92,강원도,삼척시,74435.6235,310,13.35860367,4876.035,4,3,7,3
93,강원도,홍천군,74491.58573,498,11.72616125,4279.99,4,1,5,4
94,강원도,횡성군,56123.17968,536,14.21519575,5188.475,4,5,9,1
95,강원도,영월군,53187.68831,562,14.08173221,5139.93,4,4,8,2
96,강원도,평창군,68147.82322,100,13.73460274,5013.275,4,4,8,2
97,강원도,정선군,85310.62079,527,13.86069066,5059.265,4,4,8,2
98,강원도,철원군,68410.06199,323,12.72653824,4645.355,4,1,5,4
99,강원도,화천군,46273.7931,322,12.3298681,4500.45,5,1,6,3
100,강원도,양구군,51062.59454,518,13.46594183,4915.09,5,3,8,2
101,강원도,인제군,66853.72937,321,13.85461539,5057.075,4,4,8,2
102,강원도,고성군,61484.8012,320,11.22783293,4098.22,4,1,5,4
103,강원도,양양군,73159.67603,521,13.29910206,4854.135,4,2,6,3
,강원도,강원도,,,,,,,,3
54,경기도,가평군,134181.159,505,13.51041,4931.15,3,3,6,3
55,경기도,고양시,1081660.931,540,13.53902825,4941.735,2,3,5,4
56,경기도,과천시,1730490.291,116,12.11767307,4423.07,1,1,2,5
57,경기도,광명시,2098612.466,NA,13.5972827,4962.905,1,3,4,5
58,경기도,광주시,427921.4603,546,13.53988863,4942.1,2,3,5,4
59,경기도,구리시,1797704.944,569,14.09855622,5146.135,1,4,5,4
60,경기도,군포시,1739130.303,NA,13.0867767,4776.755,1,2,3,5
61,경기도,김포시,473787.2838,NA,13.2761374,4845.74,2,2,4,5
62,경기도,남양주시,617362.1919,541,13.11274039,4786.245,2,2,4,5
63,경기도,동두천시,434849.7773,NA,13.34525081,4870.925,2,3,5,4
64,경기도,부천시,2006969.14,NA,13.8525357,5056.345,1,4,5,4
65,경기도,성남시,2589036.51,572,12.51573751,4568.34,1,1,2,5
66,경기도,수원시,1545750.765,119,13.96893151,5098.685,1,4,5,4
67,경기도,시흥시,835150.149,565,14.10778871,5149.42,2,4,6,3
68,경기도,안산시,826877.7784,514,13.0867767,4776.755,2,2,4,5
69,경기도,안성시,170923.1806,495,14.46831223,5280.82,3,5,8,2
70,경기도,안양시,2450550.819,NA,13.27424816,4845.01,1,2,3,5
71,경기도,양주시,320142.1162,598,13.48055281,4920.565,3,3,6,3
72,경기도,양평군,178591.4871,326,12.48618867,4557.39,3,1,4,5
73,경기도,여주시,111206.2769,548,13.01904065,4751.935,4,2,6,3
74,경기도,연천군,92793.94444,499,13.47506502,4918.375,4,3,7,3
75,경기도,오산시,883067.8392,550,13.35629419,4874.94,2,3,5,4
76,경기도,용인시,1047640.302,549,13.30182352,4855.23,2,2,4,5
77,경기도,의왕시,1293064.159,NA,13.1904819,4814.35,2,2,4,5
78,경기도,의정부시,1397180.786,532,13.14755076,4799.02,1,2,3,5
79,경기도,이천시,198264.5731,533,13.48009307,4920.2,3,3,6,3
80,경기도,파주시,309300.8455,503,13.01324655,4749.745,3,2,5,4
81,경기도,평택시,524911.1434,551,14.00405394,5111.46,2,4,6,3
82,경기도,포천시,170135.0603,504,13.8836198,5067.66,3,4,7,3
83,경기도,포천시,170135.0603,599,13.0801346,4774.2,3,2,5,4
84,경기도,하남시,1543166.131,NA,13.05612218,4765.44,1,2,3,5
85,경기도,화성시,315315.9984,515,13.765803,5024.59,3,4,7,3
,경기도,경기도,,,,,,,,4
189,경상남도,거제시,309019.7763,313,11.81915125,4313.935,3,1,4,5
190,경상남도,거창군,71250.22981,946,13.68450747,4995.025,4,3,7,3
191,경상남도,김해시,373400.6004,253,12.13575758,4429.64,3,1,4,5
192,경상남도,남해군,49655.46647,913,13.30908144,4857.785,5,3,8,2
193,경상남도,밀양시,109762.013,922,13.38792803,4886.62,4,3,7,3
194,경상남도,사천시,143771.0053,907,12.83517748,4684.775,3,2,5,4
195,경상남도,산청군,37267.95216,872,10.97019346,4004.05,5,1,6,3
196,경상남도,양산시,336631.3327,257,7.991196581,2916.715,3,1,4,5
197,경상남도,의령군,41544.98451,263,14.95629121,5458.94,5,5,10,1
198,경상남도,진주시,307181.0994,192,13.34429752,4870.56,3,3,6,3
199,경상남도,창녕군,68482.80854,903,14.36455817,5243.225,4,5,9,1
200,경상남도,창원시,585730.2075,155,15.63931129,5708.235,2,5,7,3
201,경상남도,통영시,220571.5788,911,12.05852937,4401.535,3,1,4,5
202,경상남도,하동군,36910.16206,906,12.96240837,4731.13,5,2,7,3
203,경상남도,함안군,83798.89773,920,14.42406875,5264.76,4,5,9,1
204,경상남도,함양군,44232.46828,264,15.11928767,5518.435,5,5,10,1
205,경상남도,합천군,27984.25859,311,10.86310978,3964.995,5,1,6,3
230,경상남도,고성군,60249.99328,918,13.64035041,4978.6,4,3,7,3
,경상남도,경상남도,,,,,,,,3
166,경상북도,경산시,280941.6034,827,14.16723168,5170.955,3,5,8,2
167,경상북도,경주시,169266.6642,283,12.55923288,4584.035,3,1,4,5
168,경상북도,고령군,68252.8116,812,13.55533865,4947.575,4,3,7,3
169,경상북도,구미시,259314.647,806,14.1833224,5176.795,3,5,8,2
170,경상북도,군위군,27473.68601,807,14.38675367,5251.255,5,5,10,1
171,경상북도,김천시,100626.1174,809,14.14891781,5164.385,4,5,9,1
172,경상북도,문경시,77300.48663,818,14.02089119,5117.665,4,4,8,2
173,경상북도,봉화군,19329.6002,831,11.94005697,4358.1,5,1,6,3
174,경상북도,상주시,63759.36809,821,13.15907951,4803.035,4,2,6,3
175,경상북도,성주군,47299.13668,810,13.88901801,5069.485,5,4,9,1
176,경상북도,안동시,126682.9765,136,15.87358904,5794.01,3,5,8,2
177,경상북도,영덕군,63538.71951,844,14.02216531,5118.03,4,4,8,2
178,경상북도,영양군,24124.75187,801,14.03869496,5124.235,5,4,9,1
179,경상북도,영주시,115392.6574,814,13.18276218,4811.795,4,2,6,3
180,경상북도,영천시,87038.28978,826,14.75575535,5385.94,4,5,9,1
181,경상북도,예천군,44290.95503,815,13.50712424,4930.055,5,3,8,2
182,경상북도,울릉군,243807.1377,115,9.291643836,3391.58,3,1,4,5
183,경상북도,울진군,72877.32573,800,13.46065683,4913.265,4,3,7,3
184,경상북도,의성군,34724.49584,803,14.09512117,5144.675,5,4,9,1
185,경상북도,청도군,60334.70648,813,14.37474186,5246.875,4,5,9,1
186,경상북도,청송군,24381.14011,276,14.56035616,5314.4,5,5,10,1
187,경상북도,칠곡군,142713.7614,824,14.16262945,5169.495,3,5,8,2
188,경상북도,포항시,307119.9602,138,12.98594521,4739.89,3,2,5,4
,경상북도,경상북도,,,,,,,,2
49,광주광역시,광산구,317160.6523,708,14.38476466,5250.525,3,5,8,2
208,광주광역시,남구(광주),510163.2669,689,10.05932357,3671.535,2,1,3,5
209,광주광역시,동구(광주),872311.5111,316,12.53899203,4576.735,2,1,3,5
210,광주광역시,북구(광주),230168.0587,156,15.53613699,5670.64,3,5,8,2
211,광주광역시,서구(광주),704810.1201,788,14.43783388,5269.87,2,5,7,3
,광주광역시,광주,,,,,,,,3
40,대구광역시,수성구,1325808.149,NA,14.72467762,5374.625,2,5,7,3
41,대구광역시,달서구,1227475.476,NA,14.60775945,5331.92,2,5,7,3
42,대구광역시,달성군,282185.9089,828,14.84360182,5418.06,3,5,8,2
212,대구광역시,남구(대구),1057277.619,NA,14.56811805,5317.32,2,5,7,3
213,대구광역시,동구(대구),752863.6744,143,14.60575342,5331.19,2,5,7,3
214,대구광역시,서구(대구),861703.1173,846,14.37191708,5245.78,2,5,7,3
215,대구광역시,중구(대구),2017422.36,NA,14.56811805,5317.32,1,5,6,3
216,대구광역시,북구(대구),913953.9475,845,14.26227006,5205.63,2,5,7,3
,대구광역시,대구,,,,,,,,3
30,대전광역시,대덕구,607561.3158,648,12.26018811,4474.9,2,1,3,5
32,대전광역시,동구(대전),678769.6616,643,13.02084402,4752.665,2,2,4,5
39,대전광역시,서구(대전),829449.301,NA,14.40943038,5259.285,2,5,7,3
218,대전광역시,유성구,780460.8907,133,15.31263014,5589.245,2,5,7,3
219,대전광역시,중구(대전),946229.5955,642,13.50623062,4929.69,2,3,5,4
,대전광역시,대전,,,,,,,,4
26,부산광역시,강서구,946229.5955,921,13.16726327,4805.955,2,2,4,5
27,부산광역시,금정구,1252071.627,939,13.90421026,5074.96,2,4,6,3
28,부산광역시,기장군,455688.2859,923,13.23110454,4829.315,2,2,4,5
29,부산광역시,남구(부산),1180324.194,942,12.31078445,4493.515,2,1,3,5
31,부산광역시,동구(부산),904977.023,NA,12.87663773,4700.105,2,2,4,5
33,부산광역시,동래구,1822880.734,940,13.35596018,4874.94,1,3,4,5
34,부산광역시,부산진구,2147453.767,938,13.53323389,4939.545,1,3,4,5
35,부산광역시,북구(부산),727768.8022,941,13.7853305,5031.525,2,4,6,3
36,부산광역시,사상구,1348609.163,904,13.5521626,4946.48,1,3,4,5
37,부산광역시,사하구,1141868.994,950,13.04920415,4762.885,2,2,4,5
38,부산광역시,서구(부산),935016.7075,160,12.20974347,4456.65,2,1,3,5
50,부산광역시,수영구,1891435.055,NA,12.96384406,4731.86,1,2,3,5
51,부산광역시,연제구,1673807.833,NA,13.28434604,4848.66,1,2,3,5
217,부산광역시,영도구,1026529.972,910,12.34584128,4506.29,2,1,3,5
220,부산광역시,해운대구,1614301.893,937,13.61690367,4970.205,1,3,4,5
229,부산광역시,중구(부산),3518234.424,159,13.45278912,4910.345,1,3,4,5
,부산광역시,부산,,,,,,,,5
1,서울특별시,종로구,7463376.931,108,13.98687845,5105.255,1,4,5,4
2,서울특별시,중구(서울),3340079.441,419,13.52646382,4936.99,1,3,4,5
3,서울특별시,용산구,6595497.359,415,13.58870554,4959.985,1,3,4,5
4,서울특별시,성동구,4300811.384,421,13.36314746,4877.495,1,3,4,5
5,서울특별시,광진구,4289658.706,413,13.47550378,4918.74,1,3,4,5
6,서울특별시,동대문구,3796972.691,408,13.51024995,4931.15,1,3,4,5
7,서울특별시,중랑구,3007088.867,409,13.72571026,5009.99,1,4,5,4
8,서울특별시,성북구,3369828.23,414,13.13986568,4796.1,1,2,3,5
9,서울특별시,강북구,2787514.167,424,13.75491912,5020.575,1,4,5,4
10,서울특별시,도봉구,2661112.678,406,13.10054718,4781.865,1,2,3,5
11,서울특별시,노원구,2868674.253,407,13.61672131,4970.205,1,3,4,5
12,서울특별시,은평구,3325215.318,416,12.62290626,4607.395,1,1,2,5
13,서울특별시,서대문구,4120154.17,412,13.48289635,4921.295,1,3,4,5
14,서울특별시,마포구,6014120.378,411,13.9462585,5090.29,1,4,5,4
15,서울특별시,양천구,3544745.924,405,13.11435402,4786.61,1,2,3,5
16,서울특별시,강서구,1707185.16,404,13.60509948,4965.825,1,3,4,5
17,서울특별시,구로구,3132818.898,423,13.81584096,5042.84,1,4,5,4
18,서울특별시,금천구,2867971.942,417,13.22653387,4827.855,1,2,3,5
19,서울특별시,영등포구,4073596.828,418,13.54725385,4944.655,1,3,4,5
20,서울특별시,동작구,4262047.373,410,13.21280572,4822.745,1,2,3,5
21,서울특별시,관악구,4032152.104,425,12.7175705,4642.07,1,1,2,5
22,서울특별시,서초구,7157777.395,401,13.69278292,4997.945,1,4,5,4
23,서울특별시,강남구,10547447.33,400,13.15981264,4803.4,1,2,3,5
24,서울특별시,송파구,6135574.51,403,13.56492726,4951.225,1,3,4,5
25,서울특별시,강동구,4408984.127,402,13.26794202,4842.82,1,2,3,5
,서울특별시,서울,,,,,,,,5
